feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,feature97,feature98,feature99,feature100,feature101,feature102,feature103,feature104,feature105,feature106,feature107,feature108,feature109,feature110,feature111,feature112,feature113,feature114,feature115,feature116,feature117,feature118,feature119,feature120,feature121,feature122,feature123,feature124,feature125,feature126,feature127,feature128,feature129,feature130,feature131,feature132,feature133,feature134,feature135,feature136,feature137,feature138,feature139,feature140,feature141,feature142,feature143,feature144,feature145,feature146,feature147,feature148,feature149,feature150,feature151,feature152,feature153,feature154,feature155,feature156,feature157,feature158,feature159,feature160,feature161,feature162,feature163,feature164,feature165,feature166,feature167,feature168,feature169,feature170,feature171,feature172,feature173,feature174,feature175,feature176,feature177,feature178,feature179,feature180,feature181,feature182,feature183,feature184,feature185,feature186,feature187,feature188,feature189,feature190,feature191,feature192,feature193,feature194,feature195,feature196,feature197,feature198,feature199,feature200,feature201,feature202,feature203,feature204,feature205,feature206,feature207,feature208,feature209,feature210,feature211,feature212,feature213,feature214,feature215,feature216,feature217,feature218,feature219,feature220,feature221,feature222,feature223,feature224,feature225,feature226,feature227,feature228,feature229,feature230,feature231,feature232,feature233,feature234,feature235,feature236,feature237,feature238,feature239,feature240,feature241,feature242,feature243,feature244,feature245,feature246,feature247,feature248,feature249,feature250,feature251,feature252,feature253,feature254,feature255,feature256,feature257,feature258,feature259,feature260,feature261,feature262,feature263,feature264,feature265,feature266,feature267,feature268,feature269,feature270,feature271,feature272,feature273,feature274,feature275,feature276,feature277,feature278,feature279,feature280,feature281,feature282,feature283,feature284,feature285,feature286,feature287,feature288,feature289,feature290,feature291,feature292,feature293,feature294,feature295,feature296,feature297,feature298,feature299,feature300,feature301,feature302,feature303,feature304,feature305,feature306,feature307,feature308,feature309,feature310,feature311,feature312,feature313,feature314,feature315,feature316,feature317,feature318,feature319,feature320,feature321
32461940000,662780000,13034600000,0,435450000,15265500000,3063520000,0,0,0,0,0,49082490000,0,0,0,12600000,0,0,47543530000,0,38698500000,5960000000,3051490000,0,0,0,388950000,0,0,0,0,3911970000,0,0,0,0,0,0,0,38933960000,38933960000,6020000000,0,0,31529330000,0,812980000,-10993900000,3617780000,0,81544430000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35608590000,618680000,11737490000,0,11737490000,0,0,13640000,0,13640000,0,18766760000,0,3092300000,1610000,1378110000,0,0,47743820000,12600000,0,0,0,0,47537400000,166440000,0,166440000,0,0,27380000,83352410000,0,42104520000,7191620000,0,0,3460050000,0,3460050000,1337480000,28407500000,28297510000,109990000,0,0,130040000,0,591230000,591230000,0,986600000,0,0,5351560000,0,3892320000,3892320000,0,0,1459240000,0,35896330000,35896330000,6020000000,7947770000,0,0,28552430000,0,0,0,0,0,0,0,812980000,-11625960000,4189110000,83352410000,40059970000,757970000,17318020000,0,17318020000,0,0,21270000,0,21270000,0,17208440000,0,2478040000,1610000,2274620000,0,0,48160060000,12600000,0,0,0,0,47860450000,286060000,0,286060000,0,0,950000,88220030000,0,46664710000,35691510000,0,0,7164750000,0,7164750000,1389340000,533310000,30200000,503110000,0,0,292450000,0,562940000,562940000,0,1030410000,0,0,5203440000,0,3856430000,3856430000,0,0,1347010000,0,36351880000,36351880000,6020000000,7947770000,0,0,28157940000,0,0,0,0,0,0,0,812980000,-11625960000,5039150000,88220030000,46640090000,2424790000,15741570000,0,15741570000,0,0,1220030000,0,1220030000,0,23390670000,0,3516520000,1610000,344900000,0,0,56179000000,12600000,0,0,0,0,55760750000,338500000,0,338500000,0,0,67150000,102819090000,0,53673880000,44718570000,0,0,6158850000,0,6158850000,1283110000,113310000,30200000,83110000,0,0,71340000,162120000,891570000,891570000,0,275010000,0,0,6206440000,0,4169260000,4169260000,0,0,2037180000,0,42938770000,42938770000,6020000000,7947770000,0,0,34043290000,0,0,0,0,0,0,0,0,-11625960000,5740690000,102819090000,149390000
35608590000,618680000,11737490000,0,11737490000,0,0,13640000,0,13640000,0,18766760000,0,3092300000,1610000,1378110000,0,0,47743820000,12600000,0,0,0,0,47537400000,166440000,0,166440000,0,0,27380000,83352410000,0,42104520000,7191620000,0,0,3460050000,0,3460050000,1337480000,28407500000,28297510000,109990000,0,0,130040000,0,591230000,591230000,0,986600000,0,0,5351560000,0,3892320000,3892320000,0,0,1459240000,0,35896330000,35896330000,6020000000,7947770000,0,0,28552430000,0,0,0,0,0,0,0,812980000,-11625960000,4189110000,83352410000,40059970000,757970000,17318020000,0,17318020000,0,0,21270000,0,21270000,0,17208440000,0,2478040000,1610000,2274620000,0,0,48160060000,12600000,0,0,0,0,47860450000,286060000,0,286060000,0,0,950000,88220030000,0,46664710000,35691510000,0,0,7164750000,0,7164750000,1389340000,533310000,30200000,503110000,0,0,292450000,0,562940000,562940000,0,1030410000,0,0,5203440000,0,3856430000,3856430000,0,0,1347010000,0,36351880000,36351880000,6020000000,7947770000,0,0,28157940000,0,0,0,0,0,0,0,812980000,-11625960000,5039150000,88220030000,46640090000,2424790000,15741570000,0,15741570000,0,0,1220030000,0,1220030000,0,23390670000,0,3516520000,1610000,344900000,0,0,56179000000,12600000,0,0,0,0,55760750000,338500000,0,338500000,0,0,67150000,102819090000,0,53673880000,44718570000,0,0,6158850000,0,6158850000,1283110000,113310000,30200000,83110000,0,0,71340000,162120000,891570000,891570000,0,275010000,0,0,6206440000,0,4169260000,4169260000,0,0,2037180000,0,42938770000,42938770000,6020000000,7947770000,0,0,34043290000,0,0,0,0,0,0,0,0,-11625960000,5740690000,102819090000,53604250000,2953210000,15240400000,0,15240400000,0,0,1379980000,0,1379980000,0,29157290000,0,4604010000,1610000,267750000,0,0,57080920000,12600000,0,0,0,0,56651760000,371470000,0,371470000,0,0,45090000,110685170000,0,60942300000,52634030000,0,0,4129180000,0,4129180000,1662060000,582210000,30200000,552010000,0,0,722080000,75210000,753020000,753020000,0,384510000,0,0,6654710000,0,4649610000,4649610000,0,0,2005100000,0,43088160000,43088160000,6020000000,7947770000,0,0,33911240000,0,0,0,0,0,0,0,812980000,-5753220000,149390000,110685170000,553760000
40059970000,757970000,17318020000,0,17318020000,0,0,21270000,0,21270000,0,17208440000,0,2478040000,1610000,2274620000,0,0,48160060000,12600000,0,0,0,0,47860450000,286060000,0,286060000,0,0,950000,88220030000,0,46664710000,35691510000,0,0,7164750000,0,7164750000,1389340000,533310000,30200000,503110000,0,0,292450000,0,562940000,562940000,0,1030410000,0,0,5203440000,0,3856430000,3856430000,0,0,1347010000,0,36351880000,36351880000,6020000000,7947770000,0,0,28157940000,0,0,0,0,0,0,0,812980000,-11625960000,5039150000,88220030000,46640090000,2424790000,15741570000,0,15741570000,0,0,1220030000,0,1220030000,0,23390670000,0,3516520000,1610000,344900000,0,0,56179000000,12600000,0,0,0,0,55760750000,338500000,0,338500000,0,0,67150000,102819090000,0,53673880000,44718570000,0,0,6158850000,0,6158850000,1283110000,113310000,30200000,83110000,0,0,71340000,162120000,891570000,891570000,0,275010000,0,0,6206440000,0,4169260000,4169260000,0,0,2037180000,0,42938770000,42938770000,6020000000,7947770000,0,0,34043290000,0,0,0,0,0,0,0,0,-11625960000,5740690000,102819090000,53604250000,2953210000,15240400000,0,15240400000,0,0,1379980000,0,1379980000,0,29157290000,0,4604010000,1610000,267750000,0,0,57080920000,12600000,0,0,0,0,56651760000,371470000,0,371470000,0,0,45090000,110685170000,0,60942300000,52634030000,0,0,4129180000,0,4129180000,1662060000,582210000,30200000,552010000,0,0,722080000,75210000,753020000,753020000,0,384510000,0,0,6654710000,0,4649610000,4649610000,0,0,2005100000,0,43088160000,43088160000,6020000000,7947770000,0,0,33911240000,0,0,0,0,0,0,0,812980000,-5753220000,149390000,110685170000,62415450000,1442550000,20111700000,0,20111700000,0,0,1280870000,0,1280870000,0,34840680000,0,4397570000,0,342080000,0,0,56738000000,12600000,0,0,0,0,56327920000,352390000,0,352390000,0,0,45090000,119153450000,0,69483330000,62333040000,0,0,3664330000,0,3664330000,2055570000,33260000,33260000,0,0,0,289600000,70110000,812070000,812070000,0,225350000,0,0,6177590000,0,4132740000,4132740000,0,0,2044850000,0,43492530000,43492530000,6020000000,7947770000,0,0,0,0,0,0,0,0,0,0,812980000,-5621170000,553760000,119153450000,679190000
46640090000,2424790000,15741570000,0,15741570000,0,0,1220030000,0,1220030000,0,23390670000,0,3516520000,1610000,344900000,0,0,56179000000,12600000,0,0,0,0,55760750000,338500000,0,338500000,0,0,67150000,102819090000,0,53673880000,44718570000,0,0,6158850000,0,6158850000,1283110000,113310000,30200000,83110000,0,0,71340000,162120000,891570000,891570000,0,275010000,0,0,6206440000,0,4169260000,4169260000,0,0,2037180000,0,42938770000,42938770000,6020000000,7947770000,0,0,34043290000,0,0,0,0,0,0,0,0,-11625960000,5740690000,102819090000,53604250000,2953210000,15240400000,0,15240400000,0,0,1379980000,0,1379980000,0,29157290000,0,4604010000,1610000,267750000,0,0,57080920000,12600000,0,0,0,0,56651760000,371470000,0,371470000,0,0,45090000,110685170000,0,60942300000,52634030000,0,0,4129180000,0,4129180000,1662060000,582210000,30200000,552010000,0,0,722080000,75210000,753020000,753020000,0,384510000,0,0,6654710000,0,4649610000,4649610000,0,0,2005100000,0,43088160000,43088160000,6020000000,7947770000,0,0,33911240000,0,0,0,0,0,0,0,812980000,-5753220000,149390000,110685170000,62415450000,1442550000,20111700000,0,20111700000,0,0,1280870000,0,1280870000,0,34840680000,0,4397570000,0,342080000,0,0,56738000000,12600000,0,0,0,0,56327920000,352390000,0,352390000,0,0,45090000,119153450000,0,69483330000,62333040000,0,0,3664330000,0,3664330000,2055570000,33260000,33260000,0,0,0,289600000,70110000,812070000,812070000,0,225350000,0,0,6177590000,0,4132740000,4132740000,0,0,2044850000,0,43492530000,43492530000,6020000000,7947770000,0,0,0,0,0,0,0,0,0,0,812980000,-5621170000,553760000,119153450000,68234830000,2343920000,21782730000,0,21782730000,0,0,1628160000,0,1628160000,0,39859660000,0,1912530000,0,707830000,0,0,57152950000,12600000,0,0,0,0,56670060000,412520000,0,412520000,0,0,57770000,125387780000,0,69740700000,62412520000,0,0,3992580000,0,3992580000,1717400000,36350000,36350000,0,0,0,242350000,172270000,811500000,811500000,0,355730000,0,0,6929120000,0,5021220000,5021220000,0,0,1907900000,0,48717960000,48717960000,6020000000,7947770000,0,0,0,0,0,0,0,0,0,0,812980000,-5489120000,679190000,125387780000,454160000
53604250000,2953210000,15240400000,0,15240400000,0,0,1379980000,0,1379980000,0,29157290000,0,4604010000,1610000,267750000,0,0,57080920000,12600000,0,0,0,0,56651760000,371470000,0,371470000,0,0,45090000,110685170000,0,60942300000,52634030000,0,0,4129180000,0,4129180000,1662060000,582210000,30200000,552010000,0,0,722080000,75210000,753020000,753020000,0,384510000,0,0,6654710000,0,4649610000,4649610000,0,0,2005100000,0,43088160000,43088160000,6020000000,7947770000,0,0,33911240000,0,0,0,0,0,0,0,812980000,-5753220000,149390000,110685170000,62415450000,1442550000,20111700000,0,20111700000,0,0,1280870000,0,1280870000,0,34840680000,0,4397570000,0,342080000,0,0,56738000000,12600000,0,0,0,0,56327920000,352390000,0,352390000,0,0,45090000,119153450000,0,69483330000,62333040000,0,0,3664330000,0,3664330000,2055570000,33260000,33260000,0,0,0,289600000,70110000,812070000,812070000,0,225350000,0,0,6177590000,0,4132740000,4132740000,0,0,2044850000,0,43492530000,43492530000,6020000000,7947770000,0,0,0,0,0,0,0,0,0,0,812980000,-5621170000,553760000,119153450000,68234830000,2343920000,21782730000,0,21782730000,0,0,1628160000,0,1628160000,0,39859660000,0,1912530000,0,707830000,0,0,57152950000,12600000,0,0,0,0,56670060000,412520000,0,412520000,0,0,57770000,125387780000,0,69740700000,62412520000,0,0,3992580000,0,3992580000,1717400000,36350000,36350000,0,0,0,242350000,172270000,811500000,811500000,0,355730000,0,0,6929120000,0,5021220000,5021220000,0,0,1907900000,0,48717960000,48717960000,6020000000,7947770000,0,0,0,0,0,0,0,0,0,0,812980000,-5489120000,679190000,125387780000,69324540000,513960000,21841900000,0,21841900000,0,0,811530000,0,811530000,0,41695310000,0,3588030000,0,873810000,0,0,63862100000,12600000,0,0,0,0,63382790000,357570000,0,357570000,0,0,109140000,133186640000,0,71107090000,62281510000,0,0,5705530000,0,5705530000,1362260000,47920000,42350000,5570000,0,0,452380000,90790000,770780000,770780000,0,395920000,0,0,7721240000,0,4445140000,4445140000,0,0,3276100000,0,54358310000,54358310000,6020000000,7947770000,0,0,39908670000,0,0,0,0,0,0,0,812980000,-5885270000,454160000,133186640000,-3031690000
62415450000,1442550000,20111700000,0,20111700000,0,0,1280870000,0,1280870000,0,34840680000,0,4397570000,0,342080000,0,0,56738000000,12600000,0,0,0,0,56327920000,352390000,0,352390000,0,0,45090000,119153450000,0,69483330000,62333040000,0,0,3664330000,0,3664330000,2055570000,33260000,33260000,0,0,0,289600000,70110000,812070000,812070000,0,225350000,0,0,6177590000,0,4132740000,4132740000,0,0,2044850000,0,43492530000,43492530000,6020000000,7947770000,0,0,0,0,0,0,0,0,0,0,812980000,-5621170000,553760000,119153450000,68234830000,2343920000,21782730000,0,21782730000,0,0,1628160000,0,1628160000,0,39859660000,0,1912530000,0,707830000,0,0,57152950000,12600000,0,0,0,0,56670060000,412520000,0,412520000,0,0,57770000,125387780000,0,69740700000,62412520000,0,0,3992580000,0,3992580000,1717400000,36350000,36350000,0,0,0,242350000,172270000,811500000,811500000,0,355730000,0,0,6929120000,0,5021220000,5021220000,0,0,1907900000,0,48717960000,48717960000,6020000000,7947770000,0,0,0,0,0,0,0,0,0,0,812980000,-5489120000,679190000,125387780000,69324540000,513960000,21841900000,0,21841900000,0,0,811530000,0,811530000,0,41695310000,0,3588030000,0,873810000,0,0,63862100000,12600000,0,0,0,0,63382790000,357570000,0,357570000,0,0,109140000,133186640000,0,71107090000,62281510000,0,0,5705530000,0,5705530000,1362260000,47920000,42350000,5570000,0,0,452380000,90790000,770780000,770780000,0,395920000,0,0,7721240000,0,4445140000,4445140000,0,0,3276100000,0,54358310000,54358310000,6020000000,7947770000,0,0,39908670000,0,0,0,0,0,0,0,812980000,-5885270000,454160000,133186640000,71136470000,645590000,15535290000,0,15535290000,0,0,1200710000,0,1200710000,0,52138040000,0,1197360000,1600000,417880000,0,0,63803750000,12600000,0,0,0,0,63397390000,392810000,0,392810000,0,0,950000,134940220000,0,71578820000,64307950000,0,0,3234770000,0,3234770000,1627170000,842870000,45100000,797770000,0,0,652220000,0,591230000,591230000,0,322610000,0,0,7034780000,0,3570920000,3570920000,0,0,3463860000,0,56326620000,56326620000,6020000000,7947770000,0,0,39908670000,0,0,0,0,0,0,0,812980000,-5431110000,-3031690000,134940220000,-1317260000
68234830000,2343920000,21782730000,0,21782730000,0,0,1628160000,0,1628160000,0,39859660000,0,1912530000,0,707830000,0,0,57152950000,12600000,0,0,0,0,56670060000,412520000,0,412520000,0,0,57770000,125387780000,0,69740700000,62412520000,0,0,3992580000,0,3992580000,1717400000,36350000,36350000,0,0,0,242350000,172270000,811500000,811500000,0,355730000,0,0,6929120000,0,5021220000,5021220000,0,0,1907900000,0,48717960000,48717960000,6020000000,7947770000,0,0,0,0,0,0,0,0,0,0,812980000,-5489120000,679190000,125387780000,69324540000,513960000,21841900000,0,21841900000,0,0,811530000,0,811530000,0,41695310000,0,3588030000,0,873810000,0,0,63862100000,12600000,0,0,0,0,63382790000,357570000,0,357570000,0,0,109140000,133186640000,0,71107090000,62281510000,0,0,5705530000,0,5705530000,1362260000,47920000,42350000,5570000,0,0,452380000,90790000,770780000,770780000,0,395920000,0,0,7721240000,0,4445140000,4445140000,0,0,3276100000,0,54358310000,54358310000,6020000000,7947770000,0,0,39908670000,0,0,0,0,0,0,0,812980000,-5885270000,454160000,133186640000,71136470000,645590000,15535290000,0,15535290000,0,0,1200710000,0,1200710000,0,52138040000,0,1197360000,1600000,417880000,0,0,63803750000,12600000,0,0,0,0,63397390000,392810000,0,392810000,0,0,950000,134940220000,0,71578820000,64307950000,0,0,3234770000,0,3234770000,1627170000,842870000,45100000,797770000,0,0,652220000,0,591230000,591230000,0,322610000,0,0,7034780000,0,3570920000,3570920000,0,0,3463860000,0,56326620000,56326620000,6020000000,7947770000,0,0,39908670000,0,0,0,0,0,0,0,812980000,-5431110000,-3031690000,134940220000,97319900000,20704220000,21137470000,0,21137470000,0,0,1364090000,0,1364090000,0,51747130000,0,1569330000,42460000,755200000,0,0,63385170000,12600000,0,0,0,0,62946180000,425440000,0,425440000,0,0,950000,160705070000,0,7069230000,0,0,0,3402970000,0,3402970000,1914320000,30200000,30200000,0,0,0,624030000,0,858670000,858670000,0,239040000,0,0,7014450000,0,3827130000,3827130000,0,0,3187320000,0,146621390000,146621390000,10836000000,7947770000,0,0,39908670000,0,0,0,0,0,0,0,812980000,-5431110000,-1317260000,160705070000,1393250000
69324540000,513960000,21841900000,0,21841900000,0,0,811530000,0,811530000,0,41695310000,0,3588030000,0,873810000,0,0,63862100000,12600000,0,0,0,0,63382790000,357570000,0,357570000,0,0,109140000,133186640000,0,71107090000,62281510000,0,0,5705530000,0,5705530000,1362260000,47920000,42350000,5570000,0,0,452380000,90790000,770780000,770780000,0,395920000,0,0,7721240000,0,4445140000,4445140000,0,0,3276100000,0,54358310000,54358310000,6020000000,7947770000,0,0,39908670000,0,0,0,0,0,0,0,812980000,-5885270000,454160000,133186640000,71136470000,645590000,15535290000,0,15535290000,0,0,1200710000,0,1200710000,0,52138040000,0,1197360000,1600000,417880000,0,0,63803750000,12600000,0,0,0,0,63397390000,392810000,0,392810000,0,0,950000,134940220000,0,71578820000,64307950000,0,0,3234770000,0,3234770000,1627170000,842870000,45100000,797770000,0,0,652220000,0,591230000,591230000,0,322610000,0,0,7034780000,0,3570920000,3570920000,0,0,3463860000,0,56326620000,56326620000,6020000000,7947770000,0,0,39908670000,0,0,0,0,0,0,0,812980000,-5431110000,-3031690000,134940220000,97319900000,20704220000,21137470000,0,21137470000,0,0,1364090000,0,1364090000,0,51747130000,0,1569330000,42460000,755200000,0,0,63385170000,12600000,0,0,0,0,62946180000,425440000,0,425440000,0,0,950000,160705070000,0,7069230000,0,0,0,3402970000,0,3402970000,1914320000,30200000,30200000,0,0,0,624030000,0,858670000,858670000,0,239040000,0,0,7014450000,0,3827130000,3827130000,0,0,3187320000,0,146621390000,146621390000,10836000000,7947770000,0,0,39908670000,0,0,0,0,0,0,0,812980000,-5431110000,-1317260000,160705070000,101275460000,16279250000,24395640000,0,24395640000,0,0,2000880000,0,2000880000,0,56792120000,0,833690000,0,973880000,0,0,63224990000,12600000,0,0,0,0,62803530000,407910000,0,407910000,0,0,950000,164500450000,0,8027910000,0,0,0,4820710000,0,4820710000,1816550000,30200000,30200000,0,0,0,240000000,308140000,644830000,644830000,0,167480000,0,0,7140640000,0,3867470000,3867470000,0,0,3273170000,0,149331900000,149331900000,10836000000,7947770000,0,0,39908670000,0,0,0,0,0,0,0,812980000,-5431110000,1393250000,164500450000,3556970000
71136470000,645590000,15535290000,0,15535290000,0,0,1200710000,0,1200710000,0,52138040000,0,1197360000,1600000,417880000,0,0,63803750000,12600000,0,0,0,0,63397390000,392810000,0,392810000,0,0,950000,134940220000,0,71578820000,64307950000,0,0,3234770000,0,3234770000,1627170000,842870000,45100000,797770000,0,0,652220000,0,591230000,591230000,0,322610000,0,0,7034780000,0,3570920000,3570920000,0,0,3463860000,0,56326620000,56326620000,6020000000,7947770000,0,0,39908670000,0,0,0,0,0,0,0,812980000,-5431110000,-3031690000,134940220000,97319900000,20704220000,21137470000,0,21137470000,0,0,1364090000,0,1364090000,0,51747130000,0,1569330000,42460000,755200000,0,0,63385170000,12600000,0,0,0,0,62946180000,425440000,0,425440000,0,0,950000,160705070000,0,7069230000,0,0,0,3402970000,0,3402970000,1914320000,30200000,30200000,0,0,0,624030000,0,858670000,858670000,0,239040000,0,0,7014450000,0,3827130000,3827130000,0,0,3187320000,0,146621390000,146621390000,10836000000,7947770000,0,0,39908670000,0,0,0,0,0,0,0,812980000,-5431110000,-1317260000,160705070000,101275460000,16279250000,24395640000,0,24395640000,0,0,2000880000,0,2000880000,0,56792120000,0,833690000,0,973880000,0,0,63224990000,12600000,0,0,0,0,62803530000,407910000,0,407910000,0,0,950000,164500450000,0,8027910000,0,0,0,4820710000,0,4820710000,1816550000,30200000,30200000,0,0,0,240000000,308140000,644830000,644830000,0,167480000,0,0,7140640000,0,3867470000,3867470000,0,0,3273170000,0,149331900000,149331900000,10836000000,7947770000,0,0,39908670000,0,0,0,0,0,0,0,812980000,-5431110000,1393250000,164500450000,101928330000,17650630000,18814240000,0,18814240000,0,0,2118810000,0,2118810000,0,59786500000,0,2714040000,0,844110000,0,0,65636800000,12600000,0,0,0,0,65021570000,502050000,0,502050000,0,0,100580000,167565130000,0,8751410000,0,0,0,4869500000,0,4869500000,2145600000,30200000,30200000,0,0,0,80890000,263020000,606800000,606800000,0,341610000,0,0,8725660000,0,5196720000,5196720000,0,0,3099810000,0,150088060000,150088060000,107217000000,0,0,0,0,0,0,38501110000,0,0,0,0,812980000,0,3556970000,167565130000,853580000
97319900000,20704220000,21137470000,0,21137470000,0,0,1364090000,0,1364090000,0,51747130000,0,1569330000,42460000,755200000,0,0,63385170000,12600000,0,0,0,0,62946180000,425440000,0,425440000,0,0,950000,160705070000,0,7069230000,0,0,0,3402970000,0,3402970000,1914320000,30200000,30200000,0,0,0,624030000,0,858670000,858670000,0,239040000,0,0,7014450000,0,3827130000,3827130000,0,0,3187320000,0,146621390000,146621390000,10836000000,7947770000,0,0,39908670000,0,0,0,0,0,0,0,812980000,-5431110000,-1317260000,160705070000,101275460000,16279250000,24395640000,0,24395640000,0,0,2000880000,0,2000880000,0,56792120000,0,833690000,0,973880000,0,0,63224990000,12600000,0,0,0,0,62803530000,407910000,0,407910000,0,0,950000,164500450000,0,8027910000,0,0,0,4820710000,0,4820710000,1816550000,30200000,30200000,0,0,0,240000000,308140000,644830000,644830000,0,167480000,0,0,7140640000,0,3867470000,3867470000,0,0,3273170000,0,149331900000,149331900000,10836000000,7947770000,0,0,39908670000,0,0,0,0,0,0,0,812980000,-5431110000,1393250000,164500450000,101928330000,17650630000,18814240000,0,18814240000,0,0,2118810000,0,2118810000,0,59786500000,0,2714040000,0,844110000,0,0,65636800000,12600000,0,0,0,0,65021570000,502050000,0,502050000,0,0,100580000,167565130000,0,8751410000,0,0,0,4869500000,0,4869500000,2145600000,30200000,30200000,0,0,0,80890000,263020000,606800000,606800000,0,341610000,0,0,8725660000,0,5196720000,5196720000,0,0,3099810000,0,150088060000,150088060000,107217000000,0,0,0,0,0,0,38501110000,0,0,0,0,812980000,0,3556970000,167565130000,104386130000,5015060000,25048440000,0,25048440000,0,0,1599810000,0,1599810000,0,57116360000,0,1009130000,0,14597330000,0,0,65732690000,12600000,0,0,0,0,65094070000,570250000,0,570250000,0,0,55770000,170118820000,0,10852840000,0,0,0,6588190000,0,6588190000,1946060000,243650000,243650000,0,0,0,90120000,508430000,836440000,836440000,0,331220000,0,0,8324340000,0,5025880000,5025880000,0,0,2869330000,0,150941640000,150941640000,107217000000,0,0,0,38501110000,0,0,0,0,0,0,0,812980000,3556970000,853580000,170118820000,3367220000
